x,y,z
4.81967,0.35553,32.98113
4.84577,41.37799,34.34986
4.84945,7.81088,2.81577
4.87405,15.92972,38.3055
4.90507,24.25545,8.95175
4.91283,18.93861,1.28855
4.92891,24.26044,3.48378
4.95957,47.561,46.70756
5.00008,1.36985,9.49996
5.06449,42.97649,15.78144
5.07607,13.55298,25.76434
5.07956,16.16801,17.54072
5.0944,3.52464,42.92037
5.13721,25.7092,0.30341
5.13825,4.47643,3.25398
5.16912,34.89105,19.23714
5.20233,2.45736,11.69963
5.20995,30.9825,39.47854
5.32646,10.08303,7.58697
5.32652,8.7826,18.65883
5.3289,2.59008,12.05439
5.35032,10.1254,7.61934
5.35212,22.59736,5.98276
5.38184,13.58414,5.53601
5.43014,1.43577,46.43421
5.4437,3.1235,10.25044
5.44945,2.49404,9.31241
5.49508,0.64752,15.32076
5.51327,20.40907,24.13164
5.53175,4.81694,8.50636
5.53234,4.81575,8.50666
5.55915,4.50805,0.85998
5.56062,4.50547,0.86396
5.56122,9.27351,18.46127
5.56817,12.24159,4.75798
5.5983,21.21358,39.78544
5.61111,6.30203,0.70472
5.64125,14.85101,8.14085
5.64349,14.84486,8.15051
5.6658,28.46749,28.5542
5.68883,3.01869,13.46445
5.68952,3.01905,13.46407
5.72774,15.78024,40.70777
5.76896,13.99625,4.77248
5.77818,16.37803,27.48192
5.85822,1.67037,43.90565
5.85893,36.68911,45.47096
5.889,17.91121,0.71166
5.89679,6.98774,0.5384
5.93667,15.48457,24.05098
5.97043,13.17811,11.72472
5.97607,27.97857,2.20334
6.09617,20.00939,20.89845
6.11582,19.91711,21.45163
6.11745,29.33812,10.74455
6.1279,12.67244,33.01847
6.16166,17.09122,0.70875
6.20738,4.92299,36.236
6.22671,18.24556,11.05234
6.29739,44.1096,15.20869
6.30907,0.95703,18.74561
6.3141,3.83592,32.73366
6.31622,3.02959,2.58716
6.32141,27.18541,4.65698
6.32873,1.90781,13.51698
6.41853,13.0927,23.81591
6.45756,7.6092,40.01124
6.46381,29.33833,5.02886
6.47708,18.70207,10.38572
6.48145,21.85887,17.02982
6.50073,4.64724,8.83761
6.51519,26.88568,36.45947
6.52137,1.57502,17.52122
6.53172,36.8711,1.64396
6.6011,14.52092,5.6454
6.60281,2.88853,34.0897
6.67355,9.64008,45.00959
6.71693,40.98009,45.98142
6.73,30.81134,33.77571
6.75627,15.6016,1.07716
6.78585,10.38138,1.89932
6.80732,4.6128,1.98944
6.84482,21.98004,11.29107
6.86574,17.86724,5.67336
6.86598,17.86679,5.67447
6.89776,13.42259,17.69428
6.90336,36.73435,18.29507
6.90598,3.02305,19.5856
6.91117,6.51727,47.41364
6.92689,3.22112,26.13972
6.93967,5.50068,4.11713
6.94059,8.06916,10.78356
6.94344,26.92728,6.9759
6.94564,25.73286,0.83006
6.96817,4.75017,6.00362
6.97202,30.36252,40.40532
6.97627,17.76903,13.28254
7.01307,0.37624,8.49904
7.03223,1.55141,20.27854
7.04689,19.78949,18.99402
7.09577,5.51053,14.03787
7.11355,30.76941,15.62759
7.1843,23.90004,10.20259
7.18722,8.79726,10.23483
7.20022,10.91261,6.43771
7.26388,1.55643,0.68697
7.27569,9.68411,9.48518
7.28606,7.58687,19.57497
7.2904,7.92264,11.04586
7.30999,26.35126,18.63242
7.31535,4.62137,25.93969
7.34554,6.70661,37.18376
7.35167,8.05245,17.75214
7.35471,13.16367,10.66723
7.40295,16.98655,5.14546
7.41183,36.45317,46.65026
7.41185,5.04846,6.10023
7.42301,4.99158,21.78668
7.42405,4.99327,21.78594
7.43844,13.60572,6.26786
7.46736,33.69164,18.07429
7.48474,38.91651,33.08701
7.49926,37.55513,0.47411
7.52245,7.79965,20.13121
7.5577,13.86752,1.58919
7.56276,4.4671,1.60278
7.60701,47.28369,14.62538
7.63267,14.29029,12.69178
7.67695,46.76759,11.14152
7.68272,4.75965,18.77096
7.69273,22.16406,8.08118
7.70296,34.79061,18.59431
7.72799,1.77798,39.41938
7.77528,2.50448,2.25631
7.79928,1.05859,26.35245
7.82725,25.39968,19.17981
7.84934,14.85746,13.14731
7.85309,16.83954,13.74274
7.85672,4.95084,10.85553
7.85839,4.27133,20.25673
7.86709,38.18072,30.99129
7.90618,30.55982,5.55645
7.92689,31.78563,18.06742
